assessmentId,internalTaxonId,scientificName,code,name,formerlyBred,origin,presence,seasonality
3530977,133060,Goniastrea favulus,4.5.12,South China Sea,,Native,Extant,
3530977,133060,Goniastrea favulus,4.6.3,Somali Current,,Native,Extant,
3530977,133060,Goniastrea favulus,4.5.4,Indonesian Seas,,Native,Extant,
3530977,133060,Goniastrea favulus,4.5.7,Sulu-Celebes Sea,,Native,Extant,
3530977,133060,Goniastrea favulus,4.6.2,Arabian Sea,,Native,Extant,
3530977,133060,Goniastrea favulus,4.4.5,East-Central Australian Shelf,,Native,Extant,
3530977,133060,Goniastrea favulus,4.6.1,Bay of Bengal,,Native,Extant,
3530977,133060,Goniastrea favulus,4.4.4,North Australian Shelf,,Native,Extant,
3530977,133060,Goniastrea favulus,4.4.3,Northeast Australian Shelf,,Native,Extant,
3530977,133060,Goniastrea favulus,4.4.2,Northwest Australian Shelf,,Native,Extant,
3530977,133060,Goniastrea favulus,4.4.1,West-Central Australian Shelf,,Native,Extant,
3530977,133060,Goniastrea favulus,2.2.1,Kuroshio Current,,Native,Extant,
3530977,133060,Goniastrea favulus,4.6.4,Agulhas Current,,Native,Extant,
3530977,133060,Goniastrea favulus,4.5.11,East China Sea,,Native,Extant,
3534237,133003,Leptastrea bewickensis,4.5.13,Gulf of Thailand,,Native,Extant,
3534237,133003,Leptastrea bewickensis,4.5.12,South China Sea,,Native,Extant,
3534237,133003,Leptastrea bewickensis,4.5.11,East China Sea,,Native,Extant,
3534237,133003,Leptastrea bewickensis,2.2.1,Kuroshio Current,,Native,Extant,
3534237,133003,Leptastrea bewickensis,3.2.1,Insular Pacific Hawaiian,,Native,Extant,
3534237,133003,Leptastrea bewickensis,4.4.2,Northwest Australian Shelf,,Native,Extant,
3534237,133003,Leptastrea bewickensis,4.4.3,Northeast Australian Shelf,,Native,Extant,
3534237,133003,Leptastrea bewickensis,4.4.4,North Australian Shelf,,Native,Extant,
3534237,133003,Leptastrea bewickensis,4.4.5,East-Central Australian Shelf,,Native,Extant,
3534237,133003,Leptastrea bewickensis,4.6.1,Bay of Bengal,,Native,Extant,
3534237,133003,Leptastrea bewickensis,4.5.7,Sulu-Celebes Sea,,Native,Extant,
3534237,133003,Leptastrea bewickensis,4.5.4,Indonesian Seas,,Native,Extant,
3539345,133080,Acropora selago,4.5.13,Gulf of Thailand,,Native,Extant,
3539345,133080,Acropora selago,4.5.4,Indonesian Seas,,Native,Extant,
3539345,133080,Acropora selago,4.6.3,Somali Current,,Native,Extant,
3539345,133080,Acropora selago,4.5.7,Sulu-Celebes Sea,,Native,Extant,
3539345,133080,Acropora selago,4.6.2,Arabian Sea,,Native,Extant,
3539345,133080,Acropora selago,4.4.5,East-Central Australian Shelf,,Native,Extant,
3539345,133080,Acropora selago,4.6.1,Bay of Bengal,,Native,Extant,
3539345,133080,Acropora selago,4.4.4,North Australian Shelf,,Native,Extant,
3539345,133080,Acropora selago,4.4.3,Northeast Australian Shelf,,Native,Extant,
3539345,133080,Acropora selago,4.4.2,Northwest Australian Shelf,,Native,Extant,
3539345,133080,Acropora selago,2.2.1,Kuroshio Current,,Native,Extant,
3539345,133080,Acropora selago,4.6.5,Red Sea,,Native,Extant,
3539345,133080,Acropora selago,4.5.11,East China Sea,,Native,Extant,
3539345,133080,Acropora selago,4.5.12,South China Sea,,Native,Extant,
3540541,133010,Acropora elseyi,4.5.4,Indonesian Seas,,Native,Extant,
3540541,133010,Acropora elseyi,4.5.7,Sulu-Celebes Sea,,Native,Extant,
3540541,133010,Acropora elseyi,4.6.2,Arabian Sea,,Native,Extant,
3540541,133010,Acropora elseyi,4.6.1,Bay of Bengal,,Native,Extant,
3540541,133010,Acropora elseyi,4.4.4,North Australian Shelf,,Native,Extant,
3540541,133010,Acropora elseyi,4.4.3,Northeast Australian Shelf,,Native,Extant,
3540541,133010,Acropora elseyi,4.4.2,Northwest Australian Shelf,,Native,Extant,
