assessmentId,internalTaxonId,scientificName,code,name,majorImportance,season,suitability
3561794,133030,Acropora tutuilensis,9.8,Marine Neritic - Coral Reef,Yes,,Suitable
3562717,133031,Montipora effusa,9.8.1,Outer Reef Channel,,,Marginal
3562717,133031,Montipora effusa,9.8.2,Back Slope,,,Suitable
3562717,133031,Montipora effusa,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3562717,133031,Montipora effusa,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,,,Suitable
3562717,133031,Montipora effusa,9.8.4,Lagoon,,,Suitable
3564383,133033,Acropora pulchra,9.8.2,Back Slope,,,Suitable
3564383,133033,Acropora pulchra,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3564383,133033,Acropora pulchra,9.8.4,Lagoon,,,Suitable
3566820,133035,Acropora insignis,9.8,Marine Neritic - Coral Reef,Yes,,Suitable
3574580,133115,Acropora retusa,9.8.2,Back Slope,,,Suitable
3574580,133115,Acropora retusa,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3578380,133048,Astreopora suggesta,9.8.2,Back Slope,,,Suitable
3578380,133048,Astreopora suggesta,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3578380,133048,Astreopora suggesta,9.8.4,Lagoon,,,Suitable
3578932,133120,Acropora latistella,9.8.2,Back Slope,,,Suitable
3578932,133120,Acropora latistella,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3578932,133120,Acropora latistella,9.8.4,Lagoon,,,Suitable
3592271,133068,Platygyra sinensis,9.8.1,Outer Reef Channel,,,Marginal
3592271,133068,Platygyra sinensis,9.8.2,Back Slope,,,Suitable
3592271,133068,Platygyra sinensis,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3592271,133068,Platygyra sinensis,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,,,Suitable
3592271,133068,Platygyra sinensis,9.8.4,Lagoon,,,Suitable
3593444,133069,Astreopora cucullata,9.8.2,Back Slope,,,Suitable
3593444,133069,Astreopora cucullata,9.8.3,Foreslope (Outer Reef Slope),,,Marginal
3593444,133069,Astreopora cucullata,9.8.4,Lagoon,,,Marginal
3607835,133160,Acropora austera,9.8.2,Back Slope,,,Marginal
3607835,133160,Acropora austera,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3607835,133160,Acropora austera,9.8.4,Lagoon,,,Suitable
3608479,133161,Platygyra contorta,9.8.2,Back Slope,,,Suitable
3608479,133161,Platygyra contorta,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3608479,133161,Platygyra contorta,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,,,Suitable
3608479,133161,Platygyra contorta,9.8.4,Lagoon,,,Suitable
3612492,133170,Montipora dilatata,9.8.2,Back Slope,,,Suitable
3612492,133170,Montipora dilatata,9.8.4,Lagoon,,,Marginal
3614541,133174,Astreopora moretonensis,9.8.2,Back Slope,,,Suitable
3614541,133174,Astreopora moretonensis,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3616568,133178,Montastrea annuligera,9.8.2,Back Slope,,,Suitable
3616568,133178,Montastrea annuligera,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3616568,133178,Montastrea annuligera,9.8.4,Lagoon,,,Suitable
3620185,133185,Montipora calcarea,9.8.1,Outer Reef Channel,,,Suitable
3620185,133185,Montipora calcarea,9.8.2,Back Slope,,,Suitable
3620185,133185,Montipora calcarea,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3620185,133185,Montipora calcarea,9.8.4,Lagoon,,,Suitable
3621724,133188,Echinopora hirsutissima,9.8.1,Outer Reef Channel,,,Marginal
3621724,133188,Echinopora hirsutissima,9.8.2,Back Slope,,,Suitable
3621724,133188,Echinopora hirsutissima,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
