internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
133036,Fungia curvata,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FUNGIIDAE,Fungia,curvata,,,,,"(Hoeksema, 1989)",
133309,Pocillopora inflata,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,POCILLOPORIDAE,Pocillopora,inflata,,,,,"Glynn, 1999",
133433,Montipora crassituberculata,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Montipora,crassituberculata,,,,,"Bernard, 1897",
133443,Montipora australiensis,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Montipora,australiensis,,,,,"Bernard, 1897",
15184,Ogilbia galapagosensis,ANIMALIA,CHORDATA,OPHIDIIFORMES,ACTINOPTERYGII,BYTHITIDAE,Ogilbia,galapagosensis,,,,,"(Poll &amp; LeLeup, 1965)",There are no specimens known from any collection. The seven type specimens are missing. This species was collected from four cave systems in Santa Cruz Island in the 1960s. It is currently known from photographs and observations in the wild from the 1990s.
154657,Bathygobius lineatus,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,GOBIIDAE,Bathygobius,lineatus,,,,,"(Jenyns, 1841)","Miller and Stefanni (2001) recognized a different subspecies at each of its three known localities: <span style=""font-style: italic;"">Bathygobius lineatus arundelii, B. l. lineatus</span> and <span style=""font-style: italic;"">B. l. lupinus</span>, respectively."
154817,Malacoctenus zonogaster,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,LABRISOMIDAE,Malacoctenus,zonogaster,,,,,"Heller &amp; Snodgrass, 1903",
155156,Lepidonectes corallicola,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,TRIPTERYGIIDAE,Lepidonectes,corallicola,,,,,"(Kendall &amp; Radcliffe, 1912)",
161597,Alopias pelagicus,ANIMALIA,CHORDATA,LAMNIFORMES,CHONDRICHTHYES,ALOPIIDAE,Alopias,pelagicus,,,,,"Nakamura, 1935",
161696,Alopias superciliosus,ANIMALIA,CHORDATA,LAMNIFORMES,CHONDRICHTHYES,ALOPIIDAE,Alopias,superciliosus,,,,,"Lowe, 1841",
170314,Makaira nigricans,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,ISTIOPHORIDAE,Makaira,nigricans,,,,,"Lacepède, 1802","<p>Blue Marlin (<span style=""font-style: italic;"">Makaira nigricans</span>) of the Indo-Pacific and the Atlantic are conspecific (Buonaccorsi <span style=""font-style: italic;"">et al</span>. 1999, 2001; Collette <span style=""font-style: italic;"">et al</span>. 2006). The Indo-Pacific Blue Marlin previously was known as <span style=""font-style: italic;"">Makaira mazara</span> (Jordan and Snyder).<br/></p>"
183221,Myxodagnus sagitta,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,DACTYLOSCOPIDAE,Myxodagnus,sagitta,,,,,"Myers &amp; Wade, 1946",
183305,Xyrichtys victori,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,LABRIDAE,Xyrichtys,victori,,,,,"Wellington, 1992",
183307,Elacatinus nesiotes,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,GOBIIDAE,Elacatinus,nesiotes,,,,,"Bussing, 1990",
183325,Chriolepis lepidota,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,GOBIIDAE,Chriolepis,lepidota,,,,,"Findley, 1975",This species is also spelled as <i>Chriolepis lepidotus</i>.
183360,Labrisomus jenkinsi,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,LABRISOMIDAE,Labrisomus,jenkinsi,,,,,"(Heller &amp; Snodgrass, 1903)",
183372,Quassiremus evionthas,ANIMALIA,CHORDATA,ANGUILLIFORMES,ACTINOPTERYGII,OPHICHTHIDAE,Quassiremus,evionthas,,,,,"(Jordan &amp; Bollman, 1890)",
183395,Xenocys jessiae,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,HAEMULIDAE,Xenocys,jessiae,,,,,"Jordan &amp; Bollman, 1890",
183407,Eleotrica cableae,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,GOBIIDAE,Eleotrica,cableae,,,,,"Ginsburg, 1933",
183427,Lepidonectes bimaculatus,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,TRIPTERYGIIDAE,Lepidonectes,bimaculatus,,,,,"Allen &amp; Robertson, 1992",
183445,Odontoscion eurymesops,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,SCIAENIDAE,Odontoscion,eurymesops,,,,,"(Heller &amp; Snodgrass, 1903)",
183462,Stegastes beebei,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,POMACENTRIDAE,Stegastes,beebei,,,,,"(Nichols, 1924)",
183482,Dactyloscopus lacteus,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,DACTYLOSCOPIDAE,Dactyloscopus,lacteus,,,,,"(Myers &amp; Wade, 1946)",
183513,Paraclinus fehlmanni,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,LABRISOMIDAE,Paraclinus,fehlmanni,,,,,"Springer &amp; Trist, 1969",
183519,Halichoeres malpelo,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,LABRIDAE,Halichoeres,malpelo,,,,,"Allen &amp; Robertson, 1992",Possibly conspecific with <i>Halichoeres salmofasciatus</i> from Cocos Island. Genetic studies are needed.
