internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
133120,Acropora latistella,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,latistella,,,,,"(Brook, 1891)",
133129,Astreopora ocellata,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Astreopora,ocellata,,,,,"Bernard, 1896",
133068,Platygyra sinensis,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Platygyra,sinensis,,,,,"(Milne Edwards &amp; Haime, 1849)",
133069,Astreopora cucullata,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Astreopora,cucullata,,,,,"Lamberts, 1980",
133160,Acropora austera,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,austera,,,,,"(Dana, 1846)",
133174,Astreopora moretonensis,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Astreopora,moretonensis,,,,,"Veron &amp; Wallace, 1984",
133178,Montastrea annuligera,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Montastrea,annuligera,,,,,"(Milne Edwards &amp; Haime, 1849)",
133182,Isopora brueggemanni,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Isopora,brueggemanni,,,,,"(Brook, 1893)",The genus <i>Isopora</i> was previously a subgenus but was elevated (Wallace <i>et al</i>. 2007).
133188,Echinopora hirsutissima,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Echinopora,hirsutissima,,,,,"Milne Edwards &amp; Haime, 1849",
133193,Heliopora coerulea,ANIMALIA,CNIDARIA,HELIOPORACEA,ANTHOZOA,HELIOPORIDAE,Heliopora,coerulea,,,,,Pallas 1766,
133196,Montipora incrassata,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Montipora,incrassata,,,,,"(Dana, 1846)",
133207,Acropora clathrata,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,clathrata,,,,,"(Brook, 1891)",This species is sometimes confused with the similar <em>A. downingi</em> (Riegl <em>et al</em>. 2012).
133210,Favia speciosa,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Favia,speciosa,,,,,"Dana, 1846",
133223,Acropora donei,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,donei,,,,,"Veron &amp; Wallace, 1984",
133238,Montipora hispida,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Montipora,hispida,,,,,"(Dana, 1846)",
133245,Montipora spongodes,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Montipora,spongodes,,,,,"Bernard, 1897",
133252,Acropora tortuosa,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,tortuosa,,,,,"(Dana, 1846)",
133260,Trachyphyllia geoffroyi,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,TRACHYPHYLLIIDAE,Trachyphyllia,geoffroyi,,,,,Audouin 1826,
133266,Acropora nobilis,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,nobilis,,,,,"(Dana, 1846)",
133271,Acropora sarmentosa,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,sarmentosa,,,,,"(Brook, 1892)",
