assessmentId,internalTaxonId,scientificName,code,name,majorImportance,season,suitability
3547919,133017,Acropora plana,9.8,Marine Neritic - Coral Reef,Yes,,Suitable
3548723,133018,Acropora minuta,9.8.2,Back Slope,,,Suitable
3548723,133018,Acropora minuta,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3551566,133092,Astreopora incrustans,9.8.2,Back Slope,,,Suitable
3551566,133092,Astreopora incrustans,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3553102,133022,Montipora niugini,9.8.2,Back Slope,,,Suitable
3553102,133022,Montipora niugini,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3553102,133022,Montipora niugini,9.8.4,Lagoon,,,Suitable
3553102,133022,Montipora niugini,9.8.6,Inter-Reef Rubble Substrate,,,Marginal
3561302,133101,Goniastrea minuta,9.8.1,Outer Reef Channel,,,Marginal
3561302,133101,Goniastrea minuta,9.8.2,Back Slope,,,Suitable
3561302,133101,Goniastrea minuta,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3561302,133101,Goniastrea minuta,9.8.4,Lagoon,,,Suitable
3561794,133030,Acropora tutuilensis,9.8,Marine Neritic - Coral Reef,Yes,,Suitable
3562717,133031,Montipora effusa,9.8.1,Outer Reef Channel,,,Marginal
3562717,133031,Montipora effusa,9.8.2,Back Slope,,,Suitable
3562717,133031,Montipora effusa,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3562717,133031,Montipora effusa,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,,,Suitable
3562717,133031,Montipora effusa,9.8.4,Lagoon,,,Suitable
3563274,133103,Acropora pinguis,9.8,Marine Neritic - Coral Reef,Yes,,Suitable
3564383,133033,Acropora pulchra,9.8.2,Back Slope,,,Suitable
3564383,133033,Acropora pulchra,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3564383,133033,Acropora pulchra,9.8.4,Lagoon,,,Suitable
3566820,133035,Acropora insignis,9.8,Marine Neritic - Coral Reef,Yes,,Suitable
3571197,133040,Echinopora mammiformis,9.8.2,Back Slope,,,Suitable
3571197,133040,Echinopora mammiformis,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3571197,133040,Echinopora mammiformis,9.8.4,Lagoon,,,Suitable
3572830,133113,Montipora cactus,9.8.2,Back Slope,,,Suitable
3572830,133113,Montipora cactus,9.8.3,Foreslope (Outer Reef Slope),,,Marginal
3572830,133113,Montipora cactus,9.8.4,Lagoon,,,Suitable
3572830,133113,Montipora cactus,9.8.5,Inter-Reef Soft Substrate,,,Suitable
3578380,133048,Astreopora suggesta,9.8.2,Back Slope,,,Suitable
3578380,133048,Astreopora suggesta,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3578380,133048,Astreopora suggesta,9.8.4,Lagoon,,,Suitable
3578932,133120,Acropora latistella,9.8.2,Back Slope,,,Suitable
3578932,133120,Acropora latistella,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3578932,133120,Acropora latistella,9.8.4,Lagoon,,,Suitable
3580548,133050,Acropora vermiculata,9.8,Marine Neritic - Coral Reef,Yes,,Suitable
3583402,133125,Acropora fenneri,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3586482,133128,Acropora pruinosa,9.8,Marine Neritic - Coral Reef,Yes,,Suitable
3587170,133129,Astreopora ocellata,9.8.2,Back Slope,,,Marginal
3587170,133129,Astreopora ocellata,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3587170,133129,Astreopora ocellata,9.8.4,Lagoon,,,Suitable
3588650,133059,Platygyra verweyi,9.8.2,Back Slope,,,Suitable
3588650,133059,Platygyra verweyi,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3588650,133059,Platygyra verweyi,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,,,Suitable
3588650,133059,Platygyra verweyi,9.8.4,Lagoon,,,Suitable
3589759,133131,Montipora friabilis,9.8.2,Back Slope,,,Suitable
3589759,133131,Montipora friabilis,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3589759,133131,Montipora friabilis,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,,,Suitable
3589759,133131,Montipora friabilis,9.8.4,Lagoon,,,Suitable
3591441,133067,Platygyra yaeyamaensis,9.8.2,Back Slope,,,Suitable
3591441,133067,Platygyra yaeyamaensis,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3591441,133067,Platygyra yaeyamaensis,9.8.4,Lagoon,,,Suitable
3591848,133133,Acropora abrolhosensis,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3591848,133133,Acropora abrolhosensis,9.8.4,Lagoon,,,Suitable
3591848,133133,Acropora abrolhosensis,9.8.5,Inter-Reef Soft Substrate,,,Suitable
3592271,133068,Platygyra sinensis,9.8.1,Outer Reef Channel,,,Marginal
3592271,133068,Platygyra sinensis,9.8.2,Back Slope,,,Suitable
3592271,133068,Platygyra sinensis,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3592271,133068,Platygyra sinensis,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,,,Suitable
3592271,133068,Platygyra sinensis,9.8.4,Lagoon,,,Suitable
3593444,133069,Astreopora cucullata,9.8.2,Back Slope,,,Suitable
3593444,133069,Astreopora cucullata,9.8.3,Foreslope (Outer Reef Slope),,,Marginal
3593444,133069,Astreopora cucullata,9.8.4,Lagoon,,,Marginal
3598100,133074,Goniastrea deformis,9.8.2,Back Slope,,,Suitable
3598100,133074,Goniastrea deformis,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3598100,133074,Goniastrea deformis,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,,,Suitable
3598100,133074,Goniastrea deformis,9.8.4,Lagoon,,,Suitable
3607835,133160,Acropora austera,9.8.2,Back Slope,,,Marginal
3607835,133160,Acropora austera,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3607835,133160,Acropora austera,9.8.4,Lagoon,,,Suitable
3608479,133161,Platygyra contorta,9.8.2,Back Slope,,,Suitable
3608479,133161,Platygyra contorta,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3608479,133161,Platygyra contorta,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,,,Suitable
3608479,133161,Platygyra contorta,9.8.4,Lagoon,,,Suitable
3609003,133162,Montastrea salebrosa,9.8.2,Back Slope,,,Suitable
3609003,133162,Montastrea salebrosa,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3609003,133162,Montastrea salebrosa,9.8.4,Lagoon,,,Suitable
3609729,133164,Acropora russelli,9.8.4,Lagoon,,,Suitable
3609729,133164,Acropora russelli,9.8.6,Inter-Reef Rubble Substrate,,,Suitable
3609729,133164,Acropora russelli,9.8.5,Inter-Reef Soft Substrate,,,Suitable
3612492,133170,Montipora dilatata,9.8.2,Back Slope,,,Suitable
3612492,133170,Montipora dilatata,9.8.4,Lagoon,,,Marginal
3616568,133178,Montastrea annuligera,9.8.2,Back Slope,,,Suitable
3616568,133178,Montastrea annuligera,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3616568,133178,Montastrea annuligera,9.8.4,Lagoon,,,Suitable
3618783,133182,Isopora brueggemanni,9.8.1,Outer Reef Channel,,,Suitable
3618783,133182,Isopora brueggemanni,9.8.2,Back Slope,,,Suitable
3618783,133182,Isopora brueggemanni,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3618783,133182,Isopora brueggemanni,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,,,Suitable
3618783,133182,Isopora brueggemanni,9.8.4,Lagoon,,,Suitable
3618783,133182,Isopora brueggemanni,9.8.6,Inter-Reef Rubble Substrate,,,Unknown
3618783,133182,Isopora brueggemanni,9.8.5,Inter-Reef Soft Substrate,,,Unknown
3621724,133188,Echinopora hirsutissima,9.8.1,Outer Reef Channel,,,Marginal
3621724,133188,Echinopora hirsutissima,9.8.2,Back Slope,,,Suitable
3621724,133188,Echinopora hirsutissima,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3621724,133188,Echinopora hirsutissima,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,,,Marginal
3621724,133188,Echinopora hirsutissima,9.8.4,Lagoon,,,Suitable
3622351,133189,Acropora meridiana,9.8,Marine Neritic - Coral Reef,Yes,,Suitable
3622829,133190,Montipora vietnamensis,9.8.1,Outer Reef Channel,,,Marginal
3622829,133190,Montipora vietnamensis,9.8.2,Back Slope,,,Suitable
3622829,133190,Montipora vietnamensis,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3622829,133190,Montipora vietnamensis,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,,,Suitable
3622829,133190,Montipora vietnamensis,9.8.4,Lagoon,,,Suitable
3623220,133191,Montipora porites,9.8.2,Back Slope,,,Suitable
3623220,133191,Montipora porites,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3623220,133191,Montipora porites,9.8.4,Lagoon,,,Suitable
3624060,133193,Heliopora coerulea,9.8.4,Lagoon,,,Suitable
