assessmentId,internalTaxonId,scientificName,code,name,presence,origin,seasonality,formerlyBred
1607822,180265,Actinopyga miliaris,SD,Sudan,Extant,Native,"[""Resident""]",
1607822,180265,Actinopyga miliaris,SC,Seychelles,Extant,Native,"[""Resident""]",
1607822,180265,Actinopyga miliaris,SG,Singapore,Extant,Native,"[""Resident""]",
1607822,180265,Actinopyga miliaris,KM,Comoros,Extant,Native,"[""Resident""]",
1607822,180265,Actinopyga miliaris,SO,Somalia,Extant,Native,"[""Resident""]",
1607822,180265,Actinopyga miliaris,GU,Guam,Extant,Native,"[""Resident""]",
1607822,180265,Actinopyga miliaris,PH,Philippines,Extant,Native,"[""Resident""]",
1607822,180265,Actinopyga miliaris,WF,Wallis and Futuna,Extant,Native,"[""Resident""]",
1607822,180265,Actinopyga miliaris,PF,French Polynesia,Extant,Native,"[""Resident""]",
1607822,180265,Actinopyga miliaris,LK,Sri Lanka,Extant,Native,"[""Resident""]",
1607822,180265,Actinopyga miliaris,PG,Papua New Guinea,Extant,Native,"[""Resident""]",
1607822,180265,Actinopyga miliaris,CN,China,Extant,Native,"[""Resident""]",
1609567,180275,Holothuria lessoni,TZ,"Tanzania, United Republic of",Extant,Native,"[""Resident""]",
1609567,180275,Holothuria lessoni,SO,Somalia,Extant,Native,"[""Resident""]",
1609567,180275,Holothuria lessoni,SC,Seychelles,Extant,Native,"[""Resident""]",
1609567,180275,Holothuria lessoni,RE,Réunion,Extant,Native,"[""Resident""]",
1609567,180275,Holothuria lessoni,MZ,Mozambique,Extant,Native,"[""Resident""]",
1609567,180275,Holothuria lessoni,YT,Mayotte,Extant,Native,"[""Resident""]",
1609567,180275,Holothuria lessoni,MU,Mauritius,Extant,Native,"[""Resident""]",
1609567,180275,Holothuria lessoni,MG,Madagascar,Extant,Native,"[""Resident""]",
1609567,180275,Holothuria lessoni,KE,Kenya,Extant,Native,"[""Resident""]",
1609567,180275,Holothuria lessoni,KM,Comoros,Extant,Native,"[""Resident""]",
1609567,180275,Holothuria lessoni,VN,Viet Nam,Extant,Native,"[""Resident""]",
1609567,180275,Holothuria lessoni,TH,Thailand,Extant,Native,"[""Resident""]",
1609567,180275,Holothuria lessoni,WF,Wallis and Futuna,Extant,Native,"[""Resident""]",
1609567,180275,Holothuria lessoni,VU,Vanuatu,Extant,Native,"[""Resident""]",
1609567,180275,Holothuria lessoni,TO,Tonga,Extant,Native,"[""Resident""]",
1609567,180275,Holothuria lessoni,SB,Solomon Islands,Extant,Native,"[""Resident""]",
1609567,180275,Holothuria lessoni,WS,Samoa,Extant,Native,"[""Resident""]",
1609567,180275,Holothuria lessoni,PG,Papua New Guinea,Extant,Native,"[""Resident""]",
1609567,180275,Holothuria lessoni,PW,Palau,Extant,Native,"[""Resident""]",
1609567,180275,Holothuria lessoni,NU,Niue,Extant,Native,"[""Resident""]",
1609567,180275,Holothuria lessoni,NC,New Caledonia,Extant,Native,"[""Resident""]",
1609567,180275,Holothuria lessoni,FJ,Fiji,Extant,Native,"[""Resident""]",
1609567,180275,Holothuria lessoni,CX,Christmas Island,Extant,Native,"[""Resident""]",
1609567,180275,Holothuria lessoni,AU,Australia,Extant,Native,"[""Resident""]",
1609567,180275,Holothuria lessoni,AS,American Samoa,Extant,Native,"[""Resident""]",
1609567,180275,Holothuria lessoni,BD,Bangladesh,Extant,Native,"[""Resident""]",
1609567,180275,Holothuria lessoni,IO,British Indian Ocean Territory,Extant,Native,"[""Resident""]",
